Date,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14,long_entry,long_exit,rsi_long_entry,rsi_short_entry
2010-01-04,85.51564025878906,85.56091273345784,84.14231954354095,84.79125187945318,118944600,,,,False,False,False,False
2010-01-05,85.74200439453125,85.77973529294883,85.15343922354873,85.46281647117776,111579900,,,,False,False,False,False
2010-01-06,85.80237579345703,86.0136550184713,85.59109656844277,85.65900528065717,116074400,,,,False,False,False,False
2010-01-07,86.16456604003906,86.27020564418144,85.40244681850331,85.64390959324685,131091100,,,,False,False,False,False
2010-01-08,86.4513168334961,86.48904773758679,85.76465928308144,85.93820762527218,126402800,,,,False,False,False,False
2010-01-11,86.57208251953125,86.87390683401351,86.20233794750985,86.83618167316811,106375700,,,,False,False,False,False
2010-01-12,85.76465606689453,86.17966721169074,85.43264254551559,85.99857154408744,163333500,,,,False,False,False,False
2010-01-13,86.48906707763672,86.73052994979932,85.54585183373139,85.98349933163745,161822000,,,,False,False,False,False
2010-01-14,86.72294616699219,86.88140557053767,86.33811289728085,86.39093269846268,115718800,,,,False,False,False,False
2010-01-15,85.74955749511719,86.65504154879478,85.41754398886937,86.57204392916005,212283100,,,,False,False,False,False
2010-01-19,86.82102966308594,86.87384945892893,85.71180819345706,85.73445018332633,139172700,,,,False,False,False,False
2010-01-20,85.93818664550781,86.3607450349131,85.25152926272423,86.23246920340453,216490200,,,,False,False,False,False
2010-01-21,84.2856674194336,86.22491670738452,84.18002782841104,85.96081772982816,344859600,,,,False,False,False,False
2010-01-22,82.40679168701172,84.31585756121476,82.3162409918157,83.9083880682223,345942400,,,33.25200794318046,False,False,False,False
2010-01-25,82.82937622070312,83.31230765721008,82.55773556325225,83.1613897842616,186937500,,,36.15876060706594,False,False,False,False
2010-01-26,82.48224639892578,83.35755250100921,82.2785145341588,82.50488263313031,211168800,,,33.41023858142107,False,False,False,False
2010-01-27,82.87461853027344,83.06326147197565,81.74276088006023,82.37659840085529,271863600,,,35.586934606949484,False,False,False,False
2010-01-28,81.92387390136719,83.19155496927125,81.4258594230443,83.14628249585834,316104000,,,30.26697146703674,False,False,False,False
2010-01-29,81.0334243774414,82.85194426395628,80.90514861763297,82.27846837250506,310677600,,,26.130238391771258,False,False,True,False
2010-02-01,82.29360961914062,82.30115695008445,81.11647929667978,81.60695218334737,187865000,84.69315185546876,,32.8700490325911,False,False,False,False
2010-02-02,83.28965759277344,83.44811702632794,82.1577995614462,82.44454061381612,216327900,84.58185272216797,,40.2381578130803,False,False,False,False
2010-02-03,82.87461853027344,83.36509133008431,82.63315579517166,82.91234366445846,172730700,84.43848342895508,,35.38734768858696,False,False,False,False
2010-02-04,80.31664276123047,82.2709814107224,80.30154809786997,82.23325626617574,356715700,84.16419677734375,,28.197434516385528,False,False,True,False
2010-02-05,80.4826431274414,80.64864411273767,78.91313216432985,80.40718133048412,493585800,83.88010063171387,,31.032758433074775,False,False,False,False
2010-02-08,79.901611328125,80.98819661519641,79.84124419952632,80.5429962379389,224166900,83.55261535644532,,24.169321077159267,False,False,True,False
2010-02-09,80.90518951416016,81.60694152014638,80.18834284825863,80.83727505839325,337820500,83.26927070617675,,31.37931673631232,False,False,False,False
2010-02-10,80.74675750732422,81.19195225804681,80.067641504001,80.77694108046391,240511500,83.01837577819825,,35.279624012570636,False,False,False,False
2010-02-11,81.59186553955078,81.682416248995,80.17327229982189,80.64110899655938,223591600,82.77351570129395,,46.291298968960085,False,False,False,False
2010-02-12,81.5239486694336,81.56922114116296,80.36945458492116,80.73164587260948,304622100,82.51356582641601,,43.860862668545046,False,False,False,False
2010-02-16,82.80670928955078,82.88971264967807,81.3579327877534,82.1426881654585,159317500,82.36642341613769,,51.40245898986282,False,False,False,False
2010-02-17,83.19908905029297,83.31227597272617,82.8067084867813,83.2066306233761,168845100,82.18532638549804,,51.40249104216543,False,False,False,False
2010-02-18,83.6895523071289,83.8631005790137,83.03307283761919,83.06325639727858,193708600,82.0728946685791,,57.94823001697584,False,False,False,False
2010-02-19,83.86314392089844,84.18761015876981,83.27457859567322,83.47076895639107,222684900,82.05176849365235,,63.616845435814234,False,False,False,False
2010-02-22,83.87823486328125,84.19515375403648,83.62922469614725,84.1725175128294,132346900,82.12534065246582,,58.663494272460035,False,False,False,False
2010-02-23,82.85955047607422,83.9084051081566,82.6407239026065,83.65185338839086,207497000,82.12684936523438,,47.65431577802147,False,False,False,False
2010-02-24,83.62165069580078,83.75747385665619,82.89726242354735,83.10854161667214,176350700,82.18381958007812,,53.92550296155382,False,False,False,False
